model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,cost_usd,elapsed_ms,kafka_streaming,flink_ops,spark_sla,retention_compliance,s3_tiering,build_vs_buy,soc2_compat,onboarding_screens,progressive_disclosure,365day_cost
gpt-4.1-mini,openai,0.9,coord_first,12,3351,373,4096,0.9,0.9,4055,65,0.001726,1504.1406670061406,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.5,coord_first,11,1862,1862,4096,0.9,0.9,4035,65,0.001718,1534.7213330096565,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.9,reason_first,14,3351,373,4096,0.9,0.9,4055,65,0.001726,971.9576670031529,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.0,coord_first,14,0,3724,4096,0.8,0.8,4016,65,0.0017104000000000002,1251.6571669984842,1,1,1,0,1,1,1,1,1,0
gpt-4.1-mini,openai,0.5,coord_first,12,1862,1862,4096,0.9,0.9,4035,65,0.001718,1274.774833000265,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.0,coord_first,15,0,3724,4096,0.9,0.9,4016,65,0.0017104000000000002,925.2176669979235,1,1,1,0,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,16,931,2793,4096,0.9,0.9,4025,65,0.001714,1330.900708999252,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.0,reason_first,11,0,3724,4096,0.9,0.9,4016,65,0.0017104000000000002,987.4527919891989,1,1,1,0,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,16,931,2793,4096,0.9,0.9,4025,435,0.002306,9311.706666005193,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.0,coord_first,16,0,3724,4096,0.9,0.9,4016,65,0.0017104000000000002,1186.8359170039184,1,1,1,0,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,15,3351,373,4096,0.9,0.9,4055,65,0.001726,1115.5077909934334,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.75,coord_first,14,2793,931,4096,0.9,0.9,4049,65,0.0017236,1379.4623339927057,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.25,coord_first,17,931,2793,4096,0.9,0.9,4025,553,0.0024948,9594.82820800622,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.0,reason_first,12,0,3724,4096,0.9,0.9,4016,65,0.0017104000000000002,1121.7835419956828,1,1,1,0,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,16,3351,373,4096,0.9,0.9,4055,65,0.001726,1308.8894579996122,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.9,coord_first,13,3351,373,4096,0.9,0.9,4055,65,0.001726,1660.5531250097556,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.5,reason_first,15,1862,1862,4096,1.0,1.0,4035,65,0.001718,1368.1212079973193,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,17,0,3724,4096,0.8,0.8,4016,65,0.0017104000000000002,1600.7086250028806,1,1,1,0,1,1,1,1,1,0
gpt-4.1-mini,openai,0.5,reason_first,16,1862,1862,4096,1.0,1.0,4035,65,0.001718,1861.2616250029532,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,13,1862,1862,4096,0.9,0.9,4035,65,0.001718,1938.5991250019288,1,1,1,1,1,1,1,1,1,0
